Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Sun	Two Door Cinema Club									2991594	93.5			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Beacon (Deluxe Version)/04 Sun.mp3
Talk - Single Edit	Two Door Cinema Club									3465556	108.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Talk/01 Talk - Single Edit.mp3
Cigarettes In The Theatre	Two Door Cinema Club									3418362	106.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/01 Cigarettes In The Theatre.mp3
Come Back Home	Two Door Cinema Club									3359001	101.0			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/02 Come Back Home.mp3
Do You Want It All ?	Two Door Cinema Club									3333093	104.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/03 Do You Want It All ?.mp3
This Is The Life	Two Door Cinema Club									3358167	104.5			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/04 This Is The Life.mp3
Something Good Can Work	Two Door Cinema Club									2646807	81.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/05 Something Good Can Work.mp3
I Can Talk	Two Door Cinema Club									2731222	87.5			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/06 I Can Talk.mp3
Undercover Martyn	Two Door Cinema Club									2693613	83.0			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/07 Undercover Martyn.mp3
What You Know	Two Door Cinema Club									3071026	94.5			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/08 What You Know.mp3
Eat That Up, It's Good For You	Two Door Cinema Club									3584297	111.5			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/09 Eat That Up, It's Good For You.mp3
You Are Not Stubborn	Two Door Cinema Club									3050553	95.0			10			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/010 You Are Not Stubborn.mp3
Kids	Two Door Cinema Club									2955660	91.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History (Deluxe Edition)/01 Kids.mp3
Dirty Air	Two Door Cinema Club									3628556	121.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Dirty Air/01 Dirty Air.mp3
Satisfaction Guaranteed	Two Door Cinema Club, Mokoomba									3631926	113.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club, Mokoomba/False Alarm/03 Satisfaction Guaranteed.mp3
