Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Rebel Love Song	Black Veil Brides									3792411	118.5			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Black Veil Brides/Set The World On Fire/06 Rebel Love Song.mp3
Not The American Average	Asking Alexandria									4470766	139.5			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Asking Alexandria/Stand Up And Scream/09 Not The American Average.mp3
Ashley	Escape the Fate									3320118	103.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Escape the Fate/This War Is Ours (Deluxe Edition)/03 Ashley.mp3
Face Down	The Red Jumpsuit Apparatus									3075610	96.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Red Jumpsuit Apparatus/Don't You Fake It/04 Face Down.mp3
Happy Song	Bring Me The Horizon									3832111	119.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bring Me The Horizon/That's The Spirit/02 Happy Song.mp3
The Depths	Of Mice & Men									3672453	113.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Of Mice & Men/The Flood (Deluxe Reissue)/04 The Depths.mp3
King For A Day	Pierce The Veil, Kellin Quinn									4703572	118.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pierce The Veil, Kellin Quinn/Collide With The Sky/04 King For A Day.mp3
Can You Feel My Heart	Bring Me The Horizon									3639874	114.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bring Me The Horizon/Sempiternal (Expanded Edition)/01 Can You Feel My Heart.mp3
If I'm James Dean, You're Audrey Hepburn	Sleeping With Sirens									3796631	109.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Sleeping With Sirens/With Ears To See And Eyes To Hear/01 If I'm James Dean, You're Audrey Hepburn.mp3
Throne	Bring Me The Horizon									3043418	95.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bring Me The Horizon/That's The Spirit/03 Throne.mp3
Dear Maria, Count Me In	All Time Low									2926820	91.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/All Time Low/So Wrong, It's Right/06 Dear Maria, Count Me In.mp3
The Trooper - 2015 Remaster	Iron Maiden									4036095	126.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iron Maiden/Piece of Mind (2015 Remaster)/05 The Trooper - 2015 Remaster.mp3
Ace of Spades	Motörhead									2634668	83.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Motörhead/Ace of Spades (Expanded Edition)/01 Ace of Spades.mp3
B.Y.O.B.	System Of A Down									4088724	127.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/System Of A Down/Mezmerize/02 B.Y.O.B..mp3
Fuel	Metallica									4318170	134.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Metallica/Reload/01 Fuel.mp3
